event_time_day,median_apy,median_tvl_index,event_count
-7,6.73154,1.0003645669886194,394
-6,6.93281,1.0041709505813974,402
-5,7.216189999999999,1.0160413058566622,410
-4,6.857894999999999,1.0077293867266273,420
-3,7.55884,1.001968122715395,431
-2,7.56655,1.004842756611797,439
-1,6.89334,1.0018651439216741,450
0,18.08823,1.0,450
1,13.62793,1.0328273508305297,448
2,12.123085,1.0672057007302667,446
3,12.555,1.0989665206485988,446
4,11.14,1.1346383679351053,447
5,10.097635,1.1642871564363344,446
6,10.92778,1.186292556026641,447
7,10.333475,1.2338162008870135,448
8,10.10828,1.2464711156054615,447
9,9.815,1.2509392467914053,447
10,9.927900000000001,1.276797703655637,448
11,10.10828,1.2887040771342648,447
12,9.79486,1.3000546914417281,444
13,9.69435,1.3137077480547095,445
14,9.5466,1.3574535313402236,441
15,9.453335,1.3675320794120536,440
16,9.69435,1.4075017058802082,441
17,9.338065,1.448220919420997,440
18,9.49806,1.4614310684604452,441
19,9.02123,1.4367073756675786,444
20,9.188244999999998,1.5190959199593614,442
21,8.60325,1.5205528615513204,441
22,8.875205000000001,1.5349718834178094,442
23,9.002315,1.5205726837433335,442
24,8.71624,1.5708911235457228,441
25,8.465879999999999,1.6176013294816247,442
26,8.51847,1.617026881977112,442
27,8.54942,1.5666517987603241,441
28,8.49479,1.608775497433379,436
29,8.3861,1.668090423980563,439
30,8.24371,1.6920262046788384,439
