event_time_day,median_apy,median_tvl_index,event_count
-7,6.5289,1.0007213923477292,395
-6,6.686045,1.0018436408096734,400
-5,6.97665,1.0148262376219157,407
-4,6.66227,1.007215659636329,417
-3,7.41152,1.0013070209899535,428
-2,7.46309,1.0041789596040176,433
-1,6.81666,1.0018631629462802,443
0,18.2378,1.0,453
1,13.62793,1.0328273508305297,450
2,12.10146,1.0673028650476832,449
3,12.54,1.100380660692995,447
4,11.232804999999999,1.135840924556852,448
5,10.392,1.1645139895012862,447
6,10.65165,1.1906823908056752,448
7,9.92754,1.2328648966539655,449
8,9.97287,1.2489740963681162,449
9,9.8275,1.2635968065329233,448
10,9.96673,1.2815072272881218,448
11,10.13828,1.2911704971269797,447
12,9.8713,1.3075708558989732,445
13,9.81383,1.3191387924681817,446
14,9.64783,1.3642291047414528,443
15,9.627154999999998,1.375064423769615,442
16,9.79307,1.4368895996774371,443
17,9.49968,1.4632712702490467,443
18,9.54063,1.4758702256714364,443
19,9.19177,1.4698567014933483,446
20,9.582505000000001,1.5400954650839234,444
21,8.86863,1.5596269382063357,443
22,9.103200000000001,1.588533566346945,444
23,9.019870000000001,1.5411824036128352,444
24,8.7556,1.5852374755142116,443
25,8.522894999999998,1.6338135414836126,444
26,8.51847,1.6263821829214766,444
27,8.53553,1.6025068378024931,443
28,8.49479,1.6247958362649064,438
29,8.3861,1.6914979866145448,441
30,8.32923,1.6942571000367264,441
