check,family,pool_count,panel_rows,threshold_percent,max_gap_days,episode_count,median_duration_days,censored_share,median_apy,mean_apy
threshold_5,apy_threshold,250,137095,5.0,1,3688,2.0,0.027114967462039046,4.28701,8.028761278244911
threshold_10,apy_threshold,250,137095,10.0,1,2668,2.0,0.01199400299850075,4.28701,8.028761278244911
threshold_20,apy_threshold,250,137095,20.0,1,964,2.0,0.008298755186721992,4.28701,8.028761278244911
min_tvl_500000,minimum_tvl,250,132699,10.0,1,2536,2.0,0.012618296529968454,4.28327,7.960505851671722
min_tvl_1000000,minimum_tvl,250,130069,10.0,1,2470,2.0,0.012955465587044534,4.24573,7.833307242240548
min_tvl_5000000,minimum_tvl,235,111512,10.0,1,1758,2.0,0.01080773606370876,3.85102,6.8519304136862935
min_history_90,minimum_history,250,137095,10.0,1,2668,2.0,0.01199400299850075,4.28701,8.028761278244911
min_history_180,minimum_history,250,137095,10.0,1,2668,2.0,0.01199400299850075,4.28701,8.028761278244911
min_history_365,minimum_history,141,108155,10.0,1,1919,2.0,0.006774361646690985,4.06,6.282265230465406
max_gap_0,episode_gap,250,137095,10.0,0,2683,2.0,0.011926947446887812,4.28701,8.028761278244911
max_gap_1,episode_gap,250,137095,10.0,1,2668,2.0,0.01199400299850075,4.28701,8.028761278244911
max_gap_3,episode_gap,250,137095,10.0,3,2646,2.0,0.012093726379440665,4.28701,8.028761278244911
winsor_0.01_0.99,winsorization,250,137095,10.0,1,2668,2.0,0.01199400299850075,4.28701,6.039160629474349
